Title,Price,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage,Price_bin,ABV_bin,Vintage_bin
Taittinger Prestige Brut Rosé Champagne,77.32000000000001,Chardonnay,Natural Cork,France,"{'Red Cherry', 'Raspberry', 'Strawberry'}",Rosé,12.5,,"{'Rich', 'Toasty'}",,Price>50,ABV<=12.5,
Bouvet Ladubay 'Blanc de Blancs' Crémant de Loire 2020/21,25.319999999999997,Chardonnay,Natural Cork,France,"{'Green Apple', 'Pear', 'Floral'}",White,12.5,Loire,"{'Fruity', 'Crisp'}",2021.0,25<Price<=50,ABV<=12.5,Vintage>2020
"Brio de Cantenac Brown 2015, Margaux",59.98666666666667,Cabernet Sauvignon,Natural Cork,France,"{'Red Fruit', 'Spice', 'Savoury'}",Red,14.0,Bordeaux,"{'Full Bodied', 'Savoury'}",2015.0,Price>50,13.5<ABV<=14.5,Vintage<=2015
"Gérard Bertrand 'Côte des Roses' Rosé 2021/22, Languedoc",18.653333333333332,Grenache,Vinolok,France,"{'Grapefruit', 'Strawberry', 'Floral', 'Raspberry', 'Peach'}",Rosé,13.5,Languedoc-Roussillon,"{'Delicate', 'Dry'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Piper-Heidsieck 'Cuvée Brut' Champagne,53.32,Pinot Noir,Natural Cork,France,"{'Green Apple', 'Lemon', 'Almond'}",White,12.0,,"{'Delicate', 'Dry'}",,Price>50,ABV<=12.5,
Jean-Pierre Bailly ‘Les Griottes’ Pouilly-Fumé 2021/22,26.653333333333332,Sauvignon Blanc,Natural Cork,France,"{'Green Apple', 'Smoke', 'Citrus Fruit', 'Grass'}",White,14.0,Loire,"{'Fresh', 'Elegant'}",2022.0,25<Price<=50,13.5<ABV<=14.5,Vintage>2020
"Barista Chardonnay 2021/22, Western Cape",15.986666666666666,Chardonnay,Screwcap,South Africa,"{'Cream', 'Stone Fruit', 'Vanilla'}",White,13.5,Western Cape,"{'Ripe', 'Rounded'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Famille Brocard Chablis 2021/22,26.653333333333332,Chardonnay,Natural Cork,France,"{'Grapefruit', 'Lemon', 'Citrus Fruit'}",White,13.0,Burgundy,"{'Fresh', 'Elegant'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
Agostina Pieri Brunello di Montalcino DOCG 2017/18,49.32,Sangiovese,Natural Cork,Italy,"{'Black Fruit', 'Herbaceous', 'Spice'}",Red,15.5,Tuscany,"{'Full Bodied', 'Savoury'}",2018.0,25<Price<=50,ABV>14.5,2015<Vintage<=2020
"Casa Ermelinda Freitas Alicante Bouschet Reserva 2019, Setúbal",22.653333333333332,Alicante Bouschet,Natural Cork,Portugal,"{'Blackberry', 'Black Fruit', 'Earth', 'Sweet Spice'}",Red,14.5,Península De Setúbal,"{'Bold', 'Spicy'}",2019.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
