year;Alsace;Auvergne;Auxerre-Avalon;Beaujolais and Maconnais;Bordeaux;Burgundy;Champagne;Gaillac- South-West;Germany;High Loire Valley;Ile de France;Jura;Languedoc;Low Loire Valley;Luxembourg;Maritime alps;Northern Italy;Northern Lorraine;Northern Rhone Valley;Savoie;Southern Lorraine;Southern Rhone Valley;Spain;Switzerland (Leman Lake);Various South-East;Vendée - Poitou Charente
1577;;;;;;33.0000;;;;;27.3000;50.0000;;;;31.5000;;;;;;10.3000;47.0000;43.0000;;
1578;;;;;;21.0000;;;;;13.2000;41.0000;;;;30.0000;;;;;;5.0000;32.0000;43.6000;;
1579;;;;;;39.0000;;;;;35.7000;61.0000;25.4000;;;;;;;;;13.0000;38.0000;52.6000;;
1580;;;;;;30.0000;;19.0000;;;25.0000;45.0000;;;;22.0000;;;;;;;43.0000;32.6000;;
1581;;;;;;33.0000;;;;;56.4000;51.0000;;;;31.0000;;;;;;14.0000;35.0000;40.5000;;
1582;;;;;;28.0000;;;;;32.3000;43.0000;;;;31.0000;;;;;;15.0000;44.0000;26.7000;;
1583;;;;;;12.0000;;;;;13.0000;34.0000;20.4000;;;;;;;;;5.0000;31.0000;25.3000;;
1584;;;;;;25.0000;;;;;26.4000;40.0000;;;;38.0000;;;;;;10.0000;33.0000;37.0000;;
1585;;;;;;34.0000;;;;;47.1000;46.0000;23.4000;;;45.0000;;;;;;15.6000;53.0000;44.6000;;
1586;;;;;27.0000;32.0000;;;;;44.9000;49.0000;;;;;;;;;;14.1000;35.0000;36.0000;;
1587;;;;;32.0000;42.0000;;;;;52.4000;60.5000;;;;52.0000;;;;;;22.0000;30.0000;40.5000;;
1588;;;;;24.0000;24.0000;;;;;33.9000;42.0000;15.2000;;;36.0000;;;;;;9.0000;33.0000;40.0000;;
1589;;;;;;25.0000;;31.0000;;;30.8000;40.0000;;;;36.0000;;;;;;10.0000;39.0000;30.8000;;
1590;;;;;;13.0000;;;;;22.6000;26.5000;;;;;;;;;;14.6000;43.0000;20.0000;;
1591;;;;;33.5000;32.0000;;;;;33.9000;45.0000;;;;36.0000;;;;;;12.9000;44.0000;42.6000;;
1592;;;;;26.0000;32.0000;;;;;36.4000;51.5000;;;;;;;;;;11.0000;42.0000;46.0000;;
1593;;;;;33.5000;32.0000;;;;;37.6000;50.5000;;;;;;;;;;9.1000;36.0000;44.6000;;
1594;;;;;47.8000;30.0000;;;;;;46.5000;;;;47.0000;;;;;;9.0000;37.0000;48.4000;;
1595;;;;;29.5000;25.0000;;22.0000;;;41.7000;48.0000;;;;49.0000;;;;;;15.8000;32.0000;42.9000;;
1596;;;;;36.3000;33.0000;;;;;36.7000;53.0000;;;;52.0000;;;;;;15.3000;52.0000;47.6000;;
1597;;;;;41.5000;43.0000;;;;;54.4000;61.0000;;;;51.0000;;;;;;18.6000;45.0000;45.6000;;
1598;;;;;31.5000;23.0000;;31.0000;;;39.4000;48.0000;;;;;;;;;;14.8000;35.0000;35.6000;;
1599;;;;;20.5000;11.0000;;;;;6.3000;28.0000;;;;;;;;;;0.1000;31.0000;24.0000;20.0000;
